CustomerID,FirstPurchase,LastPurchase,Orders,Revenue,Quantity,Recency,Frequency,Monetary,Status,Customer_Lifetime_Value
12346,2011-01-18 10:01:00,2011-01-18 10:01:00,1,77183.6,74215,326,1,77183.6,Churned,77183.6
12347,2010-12-07 14:57:00,2011-12-07 15:52:00,7,4310.0,2458,2,7,4310.0,Active,4310.0
12348,2010-12-16 19:09:00,2011-09-25 13:13:00,4,1797.24,2341,75,4,1797.24,At Risk,1797.24
12349,2011-11-21 09:51:00,2011-11-21 09:51:00,1,1757.55,631,19,1,1757.55,Active,1757.55
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,334.40000000000003,197,310,1,334.40000000000003,Churned,334.40000000000003
12352,2011-02-16 12:33:00,2011-11-03 14:37:00,8,2506.04,536,36,8,2506.04,At Risk,2506.04
12353,2011-05-19 17:47:00,2011-05-19 17:47:00,1,89.0,20,204,1,89.0,Churned,89.0
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,530,232,1,1079.4,Churned,1079.4
12355,2011-05-09 13:49:00,2011-05-09 13:49:00,1,459.40000000000003,240,214,1,459.40000000000003,Churned,459.40000000000003
12356,2011-01-18 09:50:00,2011-11-17 08:40:00,3,2811.43,1591,23,3,2811.43,Active,2811.43
12357,2011-11-06 16:07:00,2011-11-06 16:07:00,1,6207.67,2708,33,1,6207.67,At Risk,6207.67
12358,2011-07-12 10:04:00,2011-12-08 10:26:00,2,1168.06,248,2,2,1168.06,Active,1168.06
12359,2011-01-12 12:43:00,2011-10-13 12:47:00,4,6372.58,1622,58,4,6372.58,At Risk,6372.58
12360,2011-05-23 09:43:00,2011-10-18 15:22:00,3,2662.06,1165,52,3,2662.06,At Risk,2662.06
12361,2011-02-25 13:51:00,2011-02-25 13:51:00,1,189.9,91,287,1,189.9,Churned,189.9
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,10,5226.2300000000005,2229,3,10,5226.2300000000005,Active,5226.2300000000005
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,408,110,2,552.0,Churned,552.0
